p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Fmnl3	0	4.83522496799614	0.5	0.037	0	Microglia	Fmnl3
H2-D1	0	2.7998908496866	0.608	0.145	0	Microglia	H2-D1
Maml3	0	3.62531608162155	0.902	0.442	0	Microglia	Maml3
Wasf2	0	3.26103735836413	0.661	0.202	0	Microglia	Wasf2
Tec	0	4.70494821644837	0.484	0.025	0	Microglia	Tec
Rpl10	0	3.15818884625173	0.56	0.102	0	Microglia	Rpl10
Hck	0	5.68166808006692	0.47	0.014	0	Microglia	Hck
Gab2	0	3.50705390570777	0.89	0.435	0	Microglia	Gab2
Hpgd	0	5.50716073315272	0.477	0.024	0	Microglia	Hpgd
Sall1	0	4.55690281111553	0.502	0.05	0	Microglia	Sall1
Wipf1	0	2.57344932668989	0.606	0.156	0	Microglia	Wipf1
Ccnd3	0	2.87043050207341	0.64	0.192	0	Microglia	Ccnd3
Wdfy4	0	4.09602552808207	0.466	0.019	0	Microglia	Wdfy4
Fermt3	0	4.45604838731825	0.499	0.054	0	Microglia	Fermt3
Chn2	0	2.76162793930086	0.768	0.324	0	Microglia	Chn2
C3ar1	0	5.87939012720942	0.454	0.011	0	Microglia	C3ar1
P2ry13	0	6.43553623756107	0.451	0.009	0	Microglia	P2ry13
Slc15a3	0	6.11289906830388	0.46	0.018	0	Microglia	Slc15a3
Dapp1	0	4.36498657249439	0.475	0.033	0	Microglia	Dapp1
Fam102b	0	4.05391890218491	0.667	0.226	0	Microglia	Fam102b
Cd33	0	6.1364246543964	0.45	0.009	0	Microglia	Cd33
Golm1	0	4.62316319115789	0.508	0.067	0	Microglia	Golm1
Maml2	0	1.6359953436603	0.781	0.341	0	Microglia	Maml2
Slc16a6	0	4.00661072581311	0.558	0.119	0	Microglia	Slc16a6
Ifngr1	0	3.1599881800894	0.511	0.072	0	Microglia	Ifngr1
Lcp2	0	3.39700794583967	0.478	0.039	0	Microglia	Lcp2
Nlrp3	0	5.79464472168898	0.446	0.008	0	Microglia	Nlrp3
Rgs10	0	2.49825322178791	0.663	0.227	0	Microglia	Rgs10
Rnase4	0	5.46388882687209	0.455	0.019	0	Microglia	Rnase4
Snx29	0	3.42887822605237	0.841	0.405	0	Microglia	Snx29
Bcl2a1b	0	5.27917958142716	0.45	0.016	0	Microglia	Bcl2a1b
Zfp36l2	0	2.86553034483108	0.516	0.083	0	Microglia	Zfp36l2
Txnip	0	3.83581558088067	0.476	0.044	0	Microglia	Txnip
Cmss1	0	1.97834427394644	0.836	0.404	0	Microglia	Cmss1
Aim2	0	3.72922569464824	0.515	0.088	0	Microglia	Aim2
Samsn1	0	3.87725707092563	0.465	0.038	0	Microglia	Samsn1
Vav1	0	4.74642718431888	0.446	0.02	0	Microglia	Vav1
Man2b1	0	3.92531771490489	0.589	0.165	0	Microglia	Man2b1
Phyhd1	0	4.92941383825506	0.449	0.026	0	Microglia	Phyhd1
Mgat4a	0	3.81293206342729	0.677	0.255	0	Microglia	Mgat4a
Srgn	0	2.79706810518005	0.478	0.056	0	Microglia	Srgn
Lcp1	0	2.6599673424066	0.51	0.089	0	Microglia	Lcp1
Tlr7	0	6.26693636785418	0.431	0.01	0	Microglia	Tlr7
Cdk6	0	3.22356358547795	0.494	0.073	0	Microglia	Cdk6
Pik3cg	0	4.7973189036429	0.442	0.021	0	Microglia	Pik3cg
Pard3b	0	2.71268259161978	0.569	0.149	0	Microglia	Pard3b
Spi1	0	5.17876702149808	0.433	0.014	0	Microglia	Spi1
Rcsd1	0	4.17428910331213	0.445	0.028	0	Microglia	Rcsd1
Btg1	0	2.69414095176113	0.746	0.33	0	Microglia	Btg1
Gm5086	0	5.56369975936585	0.442	0.027	0	Microglia	Gm5086
Gpr183	0	4.19567647991257	0.436	0.023	0	Microglia	Gpr183
Ccnl1	0	3.39200239603486	0.787	0.376	0	Microglia	Ccnl1
Adgre1	0	4.96880116170772	0.423	0.012	0	Microglia	Adgre1
Pmepa1	0	3.42553403146929	0.746	0.34	0	Microglia	Pmepa1
Scamp2	0	3.57927317871256	0.55	0.145	0	Microglia	Scamp2
Akap13	0	2.2736195315429	0.715	0.31	0	Microglia	Akap13
Rhoh	0	3.96237259703437	0.429	0.027	0	Microglia	Rhoh
Plcl1	0	2.2091101404538	0.888	0.487	0	Microglia	Plcl1
Arpc1b	0	2.61398288363571	0.516	0.115	0	Microglia	Arpc1b
