Oligo	VLMC	Astro	L4_5_IT	L5_IT	L2_3_IT	Endo	L6_IT	Sst	L5_ET	L6_CT	Peri	PVM	Micro	SMC	L5_6_NP	Vip	OPC	Pvalb	Lamp5	L6_IT_Car3	L6b	Sncg
141	0	0	0	0.0127744090304762	0	0.987225590969523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	0	0	0.157638457763739	0.0212842497017826	0.105180744108807	0.190433955397924	0	0.0962640120702657	0	0	0	0	0	0.429198580957482	0	0	0	0	0	0	0	0	0
143	0	0	0	0.493017672216787	0.255026858693796	0.037655090456764	0	0.214300378632652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	0	0	0	0.821062999077778	0.128705247598487	0.050231753323735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	0	0	0	0.0433007151938004	0.632550301330505	0	0	0	0	0.324148983475695	0	0	0	0	0	0	0	0	0	0	0	0	0
146	0	0	0	0	0	0.0917009418930208	0	0.121710123767576	0	0.456521524963229	0.208159006582175	0	0	0	0	0	0	0	0	0.121908402794	0	0	0
147	0	0	0	0	0	0.637949326935694	0	0	0	0.0487441522945729	0	0	0	0	0	0	0	0	0	0.313306520769733	0	0	0
148	0	0	0	0	0	0	0.848932528687326	0	0	0	0	0	0	0	0.151067471312674	0	0	0	0	0	0	0	0
149	0.0506677607346377	0	0	0.254148934016796	0.022010709818026	0.035237816042104	0	0.637934779388437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	0	0.0166720865095878	0.395171681746412	0	0	0	0	0.588156231744	0	0	0	0	0	0	0	0	0	0	0	0	0
151	0	0	0	0	0.077618859473224	0	0	0.013617159168568	0.689808843982341	0.163207485080992	0.00890164829339604	0	0	0	0	0	0	0	0	0.0468460040014786	0	0	0
152	0	0	0.0755549059316797	0.12438311946251	0.0515128943829068	0	0	0.151615288089189	0.0286791213152191	0.131871805527409	0.296386483154849	0	0	0	0	0	0	0	0	0.139996382136236	0	0	0
153	0	0	0	0	0.140510932397398	0	0	0.836769372640896	0	0	0.0227196949617065	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0.00658345479431013	0	0.252981700561746	0	0.120143045670855	0.620291798973089	0	0	0	0	0	0	0	0	0	0	0	0
155	0	0.0876705153656123	0	0	0.00969634884540693	0.191305529836764	0	0.122989117977934	0.0317934605668608	0.23270121633757	0.323843811069852	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0.0258892742168861	0	0	0	0	0	0	0	0	0.0267505704356778	0	0	0.744893583134828	0	0	0.202466572212608	0	0	0	0	0
157	0.602584424535224	0	0.148242868715638	0.0600935830114196	0.0953889503123135	0	0	0.0936901734254046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	0	0	0	0.0810921728425128	0.110516152921141	0.0254201935928974	0	0.237781139700158	0	0.0457361330533994	0.329536187948318	0	0	0	0	0	0	0	0	0.169918019941573	0	0	0
159	0	0	0.0989391147064827	0	0	0	0.000320618819903204	0	0	0	0.0112592543157581	0	0	0	0	0.000323585604678371	0.0265523020384023	0	0	0.862605124514775	0	0	0
160	0	0	0	0	0	0	0	0	0.478336785219953	0	0	0	0	0	0	0	0	0	0.521663214780047	0	0	0	0
161	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	0	0	0	0.938036506068134	0.0344524966009896	0	0.0275109973308763	0	0	0	0	0	0	0	0
163	0	0	0	0.0861805756237121	0.626858453895122	0.101434769414727	0	0.185526201066439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	0	0	0	0.843733830379221	0.041214462574883	0.115051707045896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	0	0	0	0.750980225640345	0.249019774359655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	0	0.407160832762448	0.551790891014552	0.0154689230279458	0	0	0	0.025579353195054	0	0	0	0	0	0	0	0	0	0	0	0	0
167	0	0	0	0	0	0.0252604052904023	0	0	0.0161650072692836	0	0	0	0	0	0.0392701481061314	0.668611797086037	0	0	0	0.250692642248146	0	0	0
168	0	0	0	0.128281030905379	0.359091057952076	0.124076601469253	0.0827317604536062	0.294884539831967	0	0	0	0	0	0	0	0	0	0.010935009387719	0	0	0	0	0
169	0	0	0	0	0	0	0	0	0	0.0185418941828682	0.981458105817132	0	0	0	0	0	0	0	0	0	0	0	0
170	0	0	0	0.0085930144779423	0.0889722969750164	0	0.0404240663797407	0.422734055946243	0	0	0.43836174526754	0	0	0	0	0.000914820953517642	0	0	0	0	0	0	0
171	0	0	0	0	0	0	0.962999146562076	0	0.0105096433509459	0	0.0151787954067692	0	0.0113124146802095	0	0	0	0	0	0	0	0	0	0
