LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30
X102138401151297659614140192164977221559,-0.677695889491754,1.21405057171556,-0.098320285437362,7.46008639979164,3.30865172460717,-1.52683347775622,-4.47303049538441,3.534030518362,0.106855355585405,-0.191850918063418,-0.0956961512318002,-0.129889996634346,-0.690578321394089,-0.782606371751977,1.20084624735383,-0.324317997777692,0.365562262245836,-1.63078885522159,0.168332773450951,-0.0893688239965083,-0.814523190664243,-1.57885179724336,0.445735780067034,-1.88810655309139,0.161993425373294,-0.615990156011412,-0.344852358788273,0.0156651609195385,-0.128992643122348
X102295861303286750533722509490935319871,-2.42010871138445,4.20687531483867,1.77701541015332,-1.5674996645298,-0.839458753933065,-0.759857829928817,-1.71687444952922,0.282380019778041,-1.72893764588698,1.85659597451256,0.894447925916414,-1.39975179229719,0.448775615868648,0.303766235838035,-0.207414211574613,-0.471019616541486,0.0247308216652552,-1.74126839284799,3.12686882442163,-0.791616098789775,1.49168213135165,1.69707501292822,2.82621611760994,-0.255057686647064,2.33638345183316,-0.203678224922376,2.37182378744239,-1.00506601036526,0.8483750372195
X102329940502936964350965875998000187692,-2.47066158625276,1.51515193800245,-1.14879378133775,3.72430092711732,3.12112318871294,0.48393553272473,4.94211926043711,-1.2957540395328,-2.31157882696522,1.72898590818102,3.95994249099608,-0.420241735163005,-1.35577483806061,0.919220824223854,-0.0994051885885668,0.0558854866498915,0.42308588269254,-0.0998691176935779,1.22481524948637,1.70753537390247,-0.130820543751419,-0.990030579282847,0.936730957856529,0.039138002005903,-0.231170526215553,0.148216682654898,-0.13336903565647,0.969411765590429,0.0883984548772909
X102369133092169646929318332475012764060,2.79681430901986,0.981583204114271,-1.37246628436462,-3.79112793439558,2.40744227415497,-0.19552248847348,-0.077582187585569,-2.87340375893896,0.399423527188224,1.06829154349005,-1.08419715349248,0.22528180264488,-1.86948220572119,0.714502687745682,-1.33252024639377,-1.50148775326819,0.115645803002852,-2.38388066505127,1.66227715357781,-2.06245198427496,1.41737034310804,-0.10789948312622,0.98088791394882,2.06519714562322,-0.453855889771283,0.748524544945908,0.279923307057452,1.2779456527683,-3.09985086308713
X102500510899266198503869053721430715211,-0.133961091255111,1.52140724435945,-1.06756802516155,1.03120557050571,1.29037331021534,1.28439040687486,1.54868493221492,-0.398845443034851,-0.16650909817441,0.251388143536464,3.36935966238967,-1.53323147249988,0.154971332038974,-0.640801656181732,0.208502837575004,0.377389446396894,1.50771411711972,-1.99690294627227,-0.724284656786303,0.267805880440332,0.136929902159524,-0.00233013598628866,0.148905041023337,1.24465607887485,1.6360549778829,0.873567400866217,-0.785109996994007,-0.881333325385735,0.321883053562778
X102605093498008395642273795715434976140,2.92675645758405,1.16864187238976,-0.821786481054925,-2.52770871304607,-3.98100724242163,-1.06264576492826,3.34559707970376,4.5939289607747,-0.283737556394946,-2.38796125048402,2.37395843325466,0.981250009934326,-2.05479031674852,-1.18292093492028,0.0335830686692669,0.940763098243438,1.22521048035643,0.583105309412952,-0.613121778483068,1.06372529823276,0.894387471373116,0.298340213106802,-1.19979104683841,0.397696903974119,-0.384050297781796,-0.505173721281039,-0.356337491353991,-1.28215164150502,0.620107218343073
X102630798889479537592018189193151183545,3.17046409489426,1.26842761975953,-2.44755269154812,-3.51637884925515,-2.22740255486052,-0.36044805891531,3.38289960837126,4.89809677806955,1.17265356560826,-0.822010772098922,1.9270179839288,-0.243701973301664,-0.858381550187125,-1.32652268098132,1.58975348540779,1.90859057281745,0.834735705837335,0.241119979603236,0.0649299306038894,-1.15998414055876,-0.323233329635317,-0.64685324833098,-0.0313623107702682,-0.708062623222356,0.0423054045404686,0.180796107466938,-0.763787597521137,1.03209991659157,1.1228734742382
X102719174358977551803816356674924478310,-1.41598502307021,-2.44865210653774,0.440188413041682,-0.656968719184285,3.97244095767043,0.526281803842144,-0.485154589317945,-1.69384966412918,-2.08436992723659,0.76416291692069,-0.33611833067084,-0.739684579562896,-0.639647571468557,0.742877287191213,0.328075407728864,1.77669063280971,1.16499841952245,-0.0124224753991253,-0.952242654970752,-0.570152933296742,0.580920844740234,-0.195694812564534,-1.39703001017886,-0.703929194034878,-2.14474900228502,-1.71911912632917,0.928450995118226,-0.18835871493249,1.82324755749274
X102762764961926665751220904445159421327,-2.19156997576973,3.28261656094955,3.22945400598309,-0.806792986475101,-0.285744943863075,-1.50372958896799,-0.396420337983255,0.157841241158972,-1.00948301925323,0.908030359751539,0.172234452941978,-0.580964875320008,0.559606047360421,-0.195006509536797,0.24619370901667,-0.445393478505257,1.75629114795128,-1.34874906630795,-0.901140619686615,-1.06022061608186,0.810153437410271,-0.357620570266684,-1.2971890944924,0.552780879427353,-0.0426631620734231,-0.275862510103499,-0.249972742533537,0.461647849752625,0.561349553147307
X102870537692237395622163702944556475667,-5.65261405304354,2.99215429429254,-2.20830150163612,-0.489654563006173,-0.617025626835554,2.81115526097275,-1.30826703115181,0.385993647559805,-0.123618657859752,-0.89804756634977,-3.85069057730766,-1.86844885179057,2.37676456316492,-0.0371221257148998,0.80647479496425,-0.350941881786159,0.545697377927302,0.310068278670054,1.14786989581818,-0.35623471459747,1.12748323164622,-1.91867008884982,-0.438716292432272,0.0217508845322389,1.46668899521064,0.44388941523311,-0.0757908991568938,-0.0471759571665518,1.24004828451561
X102908585387146366434436973489258714022,1.37630406143116,0.335084636214204,5.19392330343542,4.00960098580722,-3.90905192359756,1.82807693313682,1.29240075383655,-3.24169847590085,0.104942635339029,0.0893779563611064,-0.768544559976231,0.507933397419528,-0.166698821393468,-0.464803960511966,-0.57572130420795,-1.41809607168963,0.342671962326612,0.838020823696559,-1.25862632862625,2.30715976028365,-0.0272270944776013,-0.274851619592258,2.10674512742591,-0.143949093238068,2.02485518669173,1.4437113760992,0.609040904635054,-0.0462991604769988,-2.18348609700187
