,spot,cell,value,spot_type,cell_type,x,y,Cell_xcoord,Cell_ycoord
660,114,119091361988120994390285975375655193520,0.00023820867079561695,,L5_IT,5135.21704931243,-3326.056878654924,5114.075924770297,-3326.03268579124
2353,114,121683842169379476994977231025023883323,0.00023820867079561695,,L5_ET,5135.21704931243,-3326.056878654924,5125.891247860611,-3325.227513052288
177,115,73631212473274467332202774110416577451,0.00023820867079561695,,Endo,5225.716014122921,-3326.056878654924,5212.835961168177,-3324.616355966151
791,115,124786785583974390716060308010417960540,0.00023820867079561695,,Endo,5225.716014122921,-3326.056878654924,5226.715336389639,-3321.3064196902587
301,115,186945370494058825054596224771835493362,0.00023820867079561695,,Micro,5225.716014122921,-3326.056878654924,5221.722894690997,-3280.983930502568
801,115,5783568765776184103290668291015590634,0.00023820867079561695,,Astro,5225.716014122921,-3326.056878654924,5228.525626118885,-3366.9303948994743
1605,115,165913852658802808322629804080781629887,0.00023820867079561695,,Endo,5225.716014122921,-3326.056878654924,5238.780252246919,-3336.4472922161503
474,116,276328520180971028159894292041083195210,0.00023820867079561695,,L5_IT,5316.214978933411,-3326.056878654924,5346.49409896474,-3313.9380585173285
1318,116,183982103708335070153125393031451539762,0.00023820867079561695,,Sst,5316.214978933411,-3326.056878654924,5324.268671748872,-3319.8389876699607
1296,116,320487553533726706766051393348848472219,0.00023820867079561695,,L5_ET,5316.214978933411,-3326.056878654924,5324.304231983281,-3342.550328198897
1447,116,308178943353630952405472736921986696675,0.00023820867079561695,,L5_6_NP,5316.214978933411,-3326.056878654924,5300.139516630217,-3361.464992509128
1697,116,57649356934609308165063085376432594981,0.00023820867079561695,,L6_IT,5316.214978933411,-3326.056878654924,5285.868375339942,-3292.4920263793156
3076,117,119148581944526785023106517533595723307,0.00023820867079561695,,L4_5_IT,5406.7139437439,-3326.056878654924,5402.024292586142,-3281.051069808053
443,117,150545603145631256867174203963228198496,0.00023820867079561695,,Sst,5406.7139437439,-3326.056878654924,5439.066760415733,-3353.22375150455
286,117,333964878271387050559510441946593592970,0.00023820867079561695,,L6_IT,5406.7139437439,-3326.056878654924,5395.591151718526,-3320.5599994806535
413,117,159584741646485200126598075678142167166,0.00023820867079561695,,L5_IT,5406.7139437439,-3326.056878654924,5412.688720764008,-3320.2672286012307
1771,117,97229695532470480472812269588202738787,0.00023820867079561695,,Sst,5406.7139437439,-3326.056878654924,5384.1987932350785,-3355.1823438801143
905,118,119789506044598118478763760927525501007,0.00023820867079561695,,Astro,3687.233612344596,-3235.5579138444336,3676.0400284318894,-3232.6079075583607
1345,118,338296331810737666821987253948767403091,0.00023820867079561695,,Astro,3687.233612344596,-3235.5579138444336,3674.9831225739676,-3235.381810359241
3539,118,213484649979974815966705742261535741395,0.00023820867079561695,,Micro,3687.233612344596,-3235.5579138444336,3682.47495450032,-3223.8080311287085
771,118,250431336411276775221785699759986041969,0.00023820867079561695,,L2_3_IT,3687.233612344596,-3235.5579138444336,3723.7074231742213,-3262.3380703321627
2180,118,248675424337312573957106441778100430944,0.00023820867079561695,,Astro,3687.233612344596,-3235.5579138444336,3678.9625330425833,-3223.6537498436983
1151,119,33112120014918058977539853806499033282,0.00023820867079561695,,L2_3_IT,3777.732577155085,-3235.5579138444336,3806.7968341363185,-3230.829270274389
1169,119,174711466812227443758483819881247724615,0.00023820867079561695,,L2_3_IT,3777.732577155085,-3235.5579138444336,3734.8064763179345,-3249.8710380617854
1262,119,7992021029505778932260382182604828495,0.00023820867079561695,,L2_3_IT,3777.732577155085,-3235.5579138444336,3793.5821027313186,-3214.841506725963
1289,119,121641932357974465919283625648163466105,0.00023820867079561695,,L2_3_IT,3777.732577155085,-3235.5579138444336,3779.3564073034677,-3230.896255562963
1350,119,32080288945540461163094291284245815131,0.00023820867079561695,,L2_3_IT,3777.732577155085,-3235.5579138444336,3774.1210652863797,-3251.3514985970683
3749,12,226776730500243507908135975184942583712,0.00023820867079561695,,L5_6_NP,3868.231541965575,-3778.551702707372,3885.698718218757,-3772.393337384376
350,12,199222328444745757138217208151849390007,0.00023820867079561695,,VLMC,3868.231541965575,-3778.551702707372,3829.6971881990316,-3802.2712987776554
248,12,157746453950983265557262119626916652525,0.00023820867079561695,,L6_CT,3868.231541965575,-3778.551702707372,3870.817691908229,-3770.500364143245
709,12,127256056688670489653732811199995752975,0.00023820867079561695,,L4_5_IT,3868.231541965575,-3778.551702707372,3890.0876659501682,-3774.4264940257485
2229,12,283365647712463811098410645903600366397,0.00023820867079561695,,L6_CT,3868.231541965575,-3778.551702707372,3864.8564455516903,-3773.1670192058327
18,120,80475293898218445587400235442067458903,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3235.5579138444336,3823.1789752049413,-3239.7747712312985
870,120,304384338816206816077683744529143206031,0.00023820867079561695,,L5_IT,3868.231541965575,-3235.5579138444336,3906.6115358836933,-3225.797790525105
645,120,131762225449722135497317387470642051409,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3235.5579138444336,3834.3192533157985,-3246.2460914192834
1516,120,42211563631087789430058017520010608177,0.00023820867079561695,,L4_5_IT,3868.231541965575,-3235.5579138444336,3909.389800183502,-3221.912011900343
1563,120,170308608645801933003443498917755558684,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3235.5579138444336,3867.658145239933,-3244.0589041461362
137,121,85733885260530103967349197159973718434,0.00023820867079561695,,L2_3_IT,3958.730506776065,-3235.5579138444336,3948.9871790292063,-3228.444360275169
373,121,169161652497405346414209403189768105,0.00023820867079561695,,L2_3_IT,3958.730506776065,-3235.5579138444336,3944.706992074915,-3233.2025520101333
593,121,58109160643642232293863994137619893834,0.00023820867079561695,,L5_IT,3958.730506776065,-3235.5579138444336,3952.077907372231,-3241.350305007345
2341,121,175402937955309111850087563178391995591,0.00023820867079561695,,L2_3_IT,3958.730506776065,-3235.5579138444336,3944.848382321151,-3230.021030425031
3078,121,154602257647205279457537764528867462332,0.00023820867079561695,,OPC,3958.730506776065,-3235.5579138444336,4003.0320730828234,-3244.771321504491
3,122,43059862219998412118220341694754378794,0.00023820867079561695,,Endo,4049.2294715865546,-3235.5579138444336,4014.2403313344303,-3224.370823882921
175,122,15709070125236144567944186434674037939,0.00023820867079561695,,Endo,4049.2294715865546,-3235.5579138444336,4056.5764154405524,-3250.8854146327076
406,122,248388264403674958426068222251790365775,0.00023820867079561695,,Endo,4049.2294715865546,-3235.5579138444336,4047.6337423160962,-3249.332196039672
742,122,93900822881678626267683024419438054249,0.00023820867079561695,,Endo,4049.2294715865546,-3235.5579138444336,4091.6060329765637,-3219.6915121508755
1742,122,315603458387408158758517451351820101586,0.00023820867079561695,,Endo,4049.2294715865546,-3235.5579138444336,4036.090835865119,-3233.509622515998
919,123,325176712638306543397161034444498045346,0.00023820867079561695,,L4_5_IT,4139.728436397044,-3235.5579138444336,4129.167802922838,-3212.3170740013175
2182,123,208848154307949972677049250820659546737,0.00023820867079561695,,L4_5_IT,4139.728436397044,-3235.5579138444336,4145.605473263381,-3216.518072105759
8,123,108204360339405890312590214638901529689,0.00023820867079561695,,Sst,4139.728436397044,-3235.5579138444336,4154.876837532415,-3278.1964128914733
247,123,183629860394319650573000167965230444019,0.00023820867079561695,,L5_IT,4139.728436397044,-3235.5579138444336,4137.263160341785,-3236.2431019832065
1040,123,68841822669921143840453236515037028749,0.00023820867079561695,,L2_3_IT,4139.728436397044,-3235.5579138444336,4131.728907924799,-3234.5149082404146
2092,124,128148822532275968047867531663433246595,0.00023820867079561695,,L2_3_IT,4230.227401207534,-3235.5579138444336,4197.985936163752,-3224.9434199503644
938,124,8328698498355625341601602662996667289,0.00023820867079561695,,L4_5_IT,4230.227401207534,-3235.5579138444336,4242.600643630895,-3219.1928915085155
584,124,79191325420242394150060588310922124348,0.00023820867079561695,,L6_IT,4230.227401207534,-3235.5579138444336,4267.413812962508,-3261.339427351831
992,124,255256753523326357702160488497120201554,0.00023820867079561695,,L4_5_IT,4230.227401207534,-3235.5579138444336,4222.01683090859,-3239.3875385052183
1887,124,17768311088919584190895701184763156301,0.00023820867079561695,,L4_5_IT,4230.227401207534,-3235.5579138444336,4221.119782371925,-3232.926291906237
688,125,19053368028460531725967541515763115960,0.00023820867079561695,,L4_5_IT,4320.726366018023,-3235.5579138444336,4282.456008812722,-3217.0680590449715
1582,125,217062940689251187452701831368253402436,0.00023820867079561695,,L4_5_IT,4320.726366018023,-3235.5579138444336,4364.047107870349,-3248.6280700526345
2556,125,115649657957276728000663534863414810348,0.00023820867079561695,,L5_IT,4320.726366018023,-3235.5579138444336,4280.4797484712835,-3225.307503952398
2134,125,191460933537156104994930141608436844791,0.00023820867079561695,,L4_5_IT,4320.726366018023,-3235.5579138444336,4315.815092611978,-3268.446164090977
2307,125,73131895259530470997969648522837785775,0.00023820867079561695,,L4_5_IT,4320.726366018023,-3235.5579138444336,4360.833872323785,-3218.339772081198
396,126,198101368468756760025832154825229003840,0.00023820867079561695,,L6_IT,4411.2253308285135,-3235.5579138444336,4422.40611829044,-3231.4161269284245
1179,126,221067078950676701346024772494307314705,0.00023820867079561695,,L6_IT,4411.2253308285135,-3235.5579138444336,4424.0899820462955,-3192.1757008189625
